Object                                   Vmag   Distance_Mpc
PGC3222314                            18.1000     2.3977e+02
2MASXJ21471606-4351464                17.4600     7.2111e+02
2MASXJ21482085-4407174                17.0100     2.7302e+02
WINGSJ214547.45-440311.8              17.9800     2.7708e+02
WINGSJ214732.42-435853.7              20.5100     2.6038e+02
WINGSJ214538.51-434934.2              18.0600     6.4476e+02
WINGSJ214727.50-434452.7              18.1000     7.0113e+02
NGC7163                               13.2320     3.9902e+01
NGC7187                               12.5460     3.7549e+01
ESO286-049                            12.9920     7.4817e+01
IC5065                                13.6030     1.4256e+02
ESO286-029                            15.2000     7.0016e+01
PGC101189                             15.6000     1.3880e+02
PGC101215                             15.9000     2.0597e+02
NGC7214                               13.8610     1.0257e+02
WINGSJ214545.97-435816.5              18.9800     7.6489e+02
WINGSJ214636.76-434733.8              19.8200     2.8787e+02
WINGSJ214543.09-434956.9              20.1100     2.0644e+03
WINGSJ214701.67-440654.7              19.7700     8.5349e+02
WINGSJ222809.61-303220.7              19.7500     1.3354e+03
WINGSJ222853.08-304142.3              19.2800     2.3388e+02
WINGSJ214635.79-440113.1              19.6400     2.7977e+02
WINGSJ222820.54-303555.9              19.5500     2.5763e+02
WINGSJ214551.56-435804.4              19.9000     2.8314e+02
WINGSJ214601.99-435420.8              19.4300     2.8314e+02
WINGSJ214601.49-434749.1              18.5600     2.7568e+02
WINGSJ214538.07-435300.2              19.5800     1.4832e+03
WINGSJ222858.48-304951.1              17.8100     2.5165e+02
PGC541952                             16.8400     1.1169e+02
WINGSJ214822.26-435343.7              18.6500     6.7236e+02
WINGSJ222814.46-302011.1              19.7900     1.2566e+03
WINGSJ214556.38-435126.3              19.8500     6.4953e+02
WINGSJ214804.45-435144.1              18.8400     6.4714e+02
WINGSJ214712.12-440823.4              19.1900     6.4714e+02
WINGSJ222757.71-303741.4              20.0900     8.2604e+02
WINGSJ222656.42-304353.2              19.5200     4.0701e+02
WINGSJ214646.22-434835.5              19.7100     2.7568e+02
WINGSJ214755.35-435417.5              18.7900     2.7568e+02
WINGSJ222812.95-303654.9              18.5000     2.5834e+02
WINGSJ214819.88-433949.5              19.5300     2.9322e+02
WINGSJ214559.08-434125.4              18.6800     6.8549e+02
WINGSJ214628.66-433807.9              19.4300     8.1997e+02
WINGSJ214633.55-435910.2              18.4400     2.7302e+02
PGC141702                             16.4800     2.4446e+02
PGC2800232                            17.5900     2.7441e+02
PGC141682                             16.4300     2.5966e+02
WINGSJ214644.63-435433.3              17.6000     2.7240e+02
WINGSJ214702.14-434810.5              17.9800     2.7708e+02
WINGSJ214709.51-435812.6              19.8600     1.3861e+03
WINGSJ214818.37-435910.7              19.0900     2.6829e+02
WINGSJ222701.12-303445.3              20.0600     6.1263e+02
WINGSJ222803.19-303727.4              19.2600     2.5574e+02
WINGSJ214636.09-435004.2              20.0700     2.7040e+02
PGC3222319                            18.6100     2.4513e+02
WINGSJ214708.03-440910.2              19.6800     6.4062e+02
WINGSJ222634.30-303738.4              19.5400     7.6068e+02
WINGSJ214530.24-435337.3              18.5500     2.8171e+02
WINGSJ214644.75-435724.6              19.5900     2.7365e+02
PGC141692                             16.6400     2.3453e+02
WINGSJ222741.29-302452.1              19.7000     5.2772e+02
WINGSJ214623.08-434211.0              19.3500     6.9279e+02
WINGSJ222632.57-303932.0              19.2800     3.0479e+02
WINGSJ222744.59-302734.5              19.3400     1.2794e+03
WINGSJ214730.96-435957.0              19.4900     4.7490e+02
PGC3222373                            17.6400     2.6571e+02
PGC3222362                            18.4900     2.5165e+02
WINGSJ222731.32-301930.1              19.8300     8.4918e+02
PGC3222297                            17.7300     2.6767e+02
WINGSJ214547.41-434205.8              18.8100     6.9279e+02
WINGSJ214757.95-434335.5              20.0400     1.0404e+03
WINGSJ222717.20-303222.4              19.8700     7.6173e+02
WINGSJ214624.50-435351.0              19.7000     3.0130e+02
WINGSJ222642.09-303904.5              19.2900     1.4602e+03
WINGSJ214644.70-433915.8              19.9300     1.3397e+03
2MASXJ21481598-4341304                17.4000     3.1579e+02
PGC2800228                            17.8000     2.7772e+02
WINGSJ214649.79-434635.7              19.5200     6.9119e+02
WINGSJ214528.93-434748.7              20.0500     6.9215e+02
WINGSJ214759.35-440127.7              18.6400     2.4706e+02
WINGSJ222733.15-304355.6              19.4100     2.5894e+02
WINGSJ214715.03-440852.6              18.3700     9.8810e+02
PGC543033                             16.9100     2.7900e+02
WINGSJ214640.01-433730.9              19.9600     4.9751e+02
WINGSJ222757.43-303810.0              20.1500     2.6571e+02
WINGSJ214557.66-433728.3              19.3200     5.1928e+02
WINGSJ214647.25-440503.3              18.3600     2.7504e+02
PGC3225623                            18.7200     2.5433e+02
WINGSJ222858.07-302634.8              19.2800     2.5834e+02
PGC2800226                            17.2500     2.8106e+02
WINGSJ222737.20-303455.8              19.2900     2.5763e+02
WINGSJ214624.86-434503.2              18.6400     6.8802e+02
WINGSJ222715.78-304000.9              19.1300     2.5107e+02
PGC541414                             17.1400     2.6767e+02
WINGSJ214625.78-434826.1              19.4800     4.0346e+02
WINGSJ222817.55-304357.9              19.5200     2.5305e+02
WINGSJ222644.94-302000.5              19.4800     8.2794e+02
WINGSJ222804.50-304631.6              20.0600     2.5574e+02
PGC2800233                            17.5200     2.7302e+02
NGC7172                               12.2450     3.5810e+01
NGC7252                               12.1280     6.7639e+01
NGC6958                               11.3960     3.8142e+01
