Object                                   Vmag   Distance_Mpc
PGC3222296                            18.6600     2.6571e+02
PGC3222302                            18.0500     3.4119e+02
PGC3222312                            19.4000     1.6285e+03
PGC3222316                            17.8300     2.3453e+02
PGC3222337                            17.8300     2.5375e+02
PGC3222328                            18.5700     2.4311e+02
PGC3222356                            18.1400     3.5027e+02
PGC3222358                            18.4200     7.6313e+02
PGC3222367                            18.6100     8.3869e+02
PGC3225615                            18.2400     7.6842e+02
PGC3225620                            17.4100     2.5165e+02
PGC3225628                            18.2400     7.6419e+02
2MASXJ21470496-4354004                17.3800     2.7504e+02
2MASXJ21475288-4342392                17.4900     6.4476e+02
WINGSJ214750.34-435257.1              16.7300     2.7836e+02
WINGSJ214612.57-440052.9              19.8600     1.2073e+03
WINGSJ214608.03-435959.0              20.9300     1.8014e+03
WINGSJ214738.02-440039.2              18.8400     8.5349e+02
WINGSJ214541.55-434243.1              19.3200     3.0200e+02
WINGSJ214544.50-440714.8              17.6900     2.9390e+02
WINGSJ214544.75-440357.5              17.9100     2.8171e+02
WINGSJ214546.11-435938.1              19.1100     2.8171e+02
WINGSJ214550.10-435143.2              19.0100     2.8642e+02
WINGSJ214615.61-435620.2              18.3200     2.8787e+02
WINGSJ214620.01-435049.5              20.3000     2.7504e+02
WINGSJ214639.88-435653.5              18.5200     2.6767e+02
WINGSJ214644.03-435447.7              19.6900     2.6705e+02
WINGSJ214645.24-435656.4              19.1500     2.9458e+02
WINGSJ214657.09-435041.6              19.4300     2.8787e+02
WINGSJ214658.44-435801.0              19.1800     2.6767e+02
WINGSJ214710.55-435408.3              17.9600     2.8576e+02
WINGSJ214719.15-435231.0              19.6300     2.7708e+02
WINGSJ214724.01-440104.0              18.9900     2.7302e+02
WINGSJ214648.71-435650.3              19.6300     2.9121e+02
WINGSJ214734.58-440848.4              19.1200     2.6705e+02
WINGSJ214743.78-435112.0              18.4300     2.9594e+02
WINGSJ214746.41-440109.5              18.0700     2.7568e+02
WINGSJ214747.97-435544.5              18.9300     2.7164e+02
WINGSJ214807.64-440436.9              20.6200     2.7708e+02
WINGSJ214821.80-440851.5              19.2400     2.8787e+02
WINGSJ214826.16-435613.1              17.8500     2.9730e+02
WINGSJ214811.06-435646.5              18.0700     2.7708e+02
WINGSJ214521.13-433943.3              18.4700     6.9375e+02
WINGSJ214524.87-440554.5              19.8000     6.4003e+02
WINGSJ214526.44-435644.1              18.9300     8.4801e+02
WINGSJ214529.86-434157.3              19.3400     8.6576e+02
WINGSJ214534.56-433713.3              18.0500     7.7804e+01
WINGSJ214541.09-440058.3              18.9600     6.4150e+02
WINGSJ214547.90-434112.5              18.6100     6.8802e+02
WINGSJ214553.54-435844.9              19.1200     8.5153e+02
WINGSJ214554.53-440808.4              19.9500     1.3068e+03
WINGSJ214556.82-434917.2              18.7100     7.6736e+02
WINGSJ214601.32-435106.6              18.6000     6.5193e+02
WINGSJ214602.69-434418.1              18.9800     6.8454e+02
WINGSJ214612.87-440209.8              19.0400     1.6765e+03
WINGSJ214621.69-435708.1              20.6400     1.5668e+03
WINGSJ214625.96-433855.4              20.4300     7.5405e+02
WINGSJ214629.90-434626.5              18.4300     6.9215e+02
WINGSJ214631.90-435232.4              19.8000     6.4298e+02
WINGSJ214633.72-440024.6              19.6800     9.8810e+02
WINGSJ214635.28-440659.2              19.8500     1.3874e+03
WINGSJ214648.24-434424.0              19.1400     8.1208e+02
WINGSJ214648.23-435143.4              18.4900     7.5232e+02
WINGSJ214651.95-434613.2              19.7700     6.9599e+02
WINGSJ214651.95-435745.3              19.1700     6.4062e+02
WINGSJ214705.76-434734.2              19.3300     1.3925e+03
WINGSJ214706.25-434538.7              18.7200     6.4387e+02
WINGSJ214709.30-434804.9              18.5500     6.9952e+02
WINGSJ214650.34-434150.5              18.5100     6.4387e+02
WINGSJ214716.23-433823.1              18.2600     8.2452e+02
WINGSJ214717.40-440226.4              19.7800     2.3356e+03
WINGSJ214720.34-434222.8              18.0700     6.9791e+02
WINGSJ214744.96-440102.1              18.4600     6.4565e+02
WINGSJ214753.17-434005.3              19.7800     1.4983e+03
WINGSJ214756.18-435923.6              19.0200     8.4217e+02
WINGSJ214800.31-435724.8              19.3200     1.1355e+02
WINGSJ214803.73-435516.8              20.2200     2.1647e+03
WINGSJ214804.46-440630.3              18.2800     6.3504e+02
WINGSJ214805.32-435404.1              20.2100     6.4863e+02
WINGSJ214805.45-434712.3              18.9600     6.3738e+02
WINGSJ214805.95-440515.4              19.6400     6.4625e+02
WINGSJ214807.92-433740.7              19.9800     1.5922e+03
WINGSJ214822.70-434336.3              18.9500     1.1366e+03
WINGSJ214824.53-434805.2              20.1000     7.0599e+02
WINGSJ214744.84-434912.8              19.0000     1.0539e+03
WINGSJ214714.01-435831.8              19.7800     1.1508e+03
WINGSJ222738.59-301949.7              19.8400     2.5235e+02
WINGSJ214526.03-434238.1              19.1800     3.0818e+02
WINGSJ214618.56-435955.5              19.9900     2.0625e+03
WINGSJ214633.95-434653.0              18.7000     6.8802e+02
WINGSJ214756.02-433739.6              19.6000     6.9791e+02
WINGSJ222640.99-303557.0              19.5700     6.4714e+02
WINGSJ222657.69-305001.5              19.0900     1.1880e+03
WINGSJ222711.01-303052.8              20.7400     1.2212e+02
WINGSJ222741.42-302521.2              18.7300     2.4638e+02
WINGSJ214528.68-435453.4              19.4200     4.9068e+02
WINGSJ214538.90-435236.5              19.3700     1.4935e+03
WINGSJ214641.23-435955.6              19.1900     6.4062e+02
WINGSJ214722.87-440133.8              19.9100     2.7164e+02
WINGSJ214813.47-440804.9              19.7800     8.4996e+02
WINGSJ222638.69-304259.6              17.5000     3.7273e+02
WINGSJ222718.43-304835.7              19.2000     1.1880e+03
WINGSJ222830.81-304555.2              19.4600     4.0983e+02
PGC089181                             17.2000     4.4627e+02
PGC2831168                            20.2000     1.9046e+03
PGC2831195                            18.5000     3.4834e+03
NGC7075                               12.7340     7.7804e+01
PGC130695                             16.1000     2.6903e+02
PGC2830762                            20.3000     6.7019e+03
PGC2830884                            18.7000     1.1885e+04
PGC2831081                            17.9000     2.2305e+03
PGC2831463                            18.7000     1.7258e+04
ESO528-036                            13.0250     1.7840e+02
PGC068924                             14.0100     2.5633e+02
PGC067844                             13.9210     1.4501e+02
ESO341-009                            16.0000     1.0985e+02
IC5039                                12.9270     3.8726e+01
PGC065292                             14.8000     8.3792e+01
ESO286-011                            15.6000     2.2151e+02
ESO286-017                            14.5000     1.4132e+02
ESO401-025                            15.2000     7.7197e+01
ESO341-026                            15.6000     1.7709e+02
ESO341-029                            16.0000     1.9625e+02
ESO286-026                            14.8000     1.2274e+02
PGC065924                             15.6000     2.0147e+02
ESO341-037                            15.9000     2.0333e+02
ESO286-050                            12.9140     3.6966e+01
ESO402-010                            14.6000     7.6595e+01
IC5086                                12.8380     8.5625e+01
PGC066187                             15.7000     7.2410e+01
ESO286-059                            13.2950     1.3201e+02
ESO286-063                            13.4400     3.4056e+01
ESO287-010                            15.2000     3.3838e+02
IC5105                                11.6030     7.6595e+01
PGC066705                             15.9000     6.8834e+01
NGC7060                               12.8200     6.8234e+01
ESO530-047                            15.1000     1.4132e+02
ESO342-050                            12.3030     3.6966e+01
IC1386                                13.1200     1.5567e+02
PGC066859                             15.9000     1.6889e+02
NGC7070                               12.3060     3.2885e+01
NGC7072A                              13.8650     7.1812e+01
NGC7070A                              12.3350     3.2885e+01
PGC066917                             15.8000     1.2764e+02
NGC7087                               13.0050     7.2410e+01
PGC067036                             13.8400     8.1395e+01
NGC7095                               15.7750     8.0798e+01
NGC7097A                              14.2790     3.8142e+01
IC5131                                12.3300     3.6966e+01
NGC7154                               12.4830     3.6392e+01
ESO466-026                            12.6380     8.9207e+01
NGC7180                               12.6080     2.0692e+01
NGC7185                               12.5830     2.5328e+01
IC5156                                12.1640     3.8726e+01
PGC068084                             15.3000     1.7652e+02
ESO404-029                            15.3200     2.5966e+02
IC5169                                14.2700     4.3411e+01
NGC7220                               13.3660     7.5998e+01
ESO404-042                            15.7000     1.4629e+02
NGC7229                               12.7270     6.1122e+01
ESO344-016                            14.5400     1.7140e+02
ESO467-026                            14.9000     5.8157e+01
NGC7262                               15.0000     1.1781e+02
NGC7267                               12.2270     4.6946e+01
ESO345-010                            12.9850     1.6444e+02
NGC7279                               13.8020     1.3074e+02
NGC7307                               12.6320     2.8236e+01
PGC069576                             15.2300     1.3014e+02
PGC085180                             17.5000     2.9662e+02
PGC085229                             15.0600     2.4774e+02
PGC087443                             15.1800     2.8510e+02
PGC089204                             19.8000     1.1179e+03
PGC089205                             17.0000     3.8905e+02
PGC089267                             17.5900     7.2111e+02
PGC089269                             18.5800     7.5301e+02
PGC089272                             18.3100     9.7589e+02
PGC089275                             18.0300     7.4886e+02
PGC089286                             18.3000     7.3282e+02
PGC089298                             18.4700     6.8802e+02
PGC089299                             19.1800     6.9631e+02
PGC089309                             15.3900     2.7302e+02
PGC097389                             16.7100     8.4295e+02
PGC139143                             17.0000     3.7740e+03
PGC139199                             16.6900     8.1133e+02
PGC139262                             17.6200     6.7236e+02
PGC142866                             15.7000     2.1757e+02
PGC2819736                            18.0000     2.2009e+03
NGC2759                               13.0430     1.0257e+02
NGC2994                               13.0830     1.0864e+02
NGC2691                               13.4740     5.9924e+01
UGC04767                              13.0710     1.0740e+02
NGC2968                               11.7290     2.3594e+01
PGC029600                             16.5000     2.4843e+02
PGC093944                             17.9800     6.4298e+02
3C234                                 17.2700     8.7740e+02
PGC1734144                            16.8000     2.2542e+02
PGC2077606                            17.4400     8.5192e+02
PGC2106181                            17.1000     2.3911e+02
PGC2128114                            16.7400     4.6387e+02
PGC2149945                            16.3900     9.8628e+02
PGC2203158                            16.3000     3.3574e+02
PGC2820699                            19.8000     2.1281e+03
PGC3095832                            18.8400     8.4645e+02
PGC3095876                            17.4000     8.3869e+02
PGC3095880                            17.8000     5.6156e+02
PGC3095962                            16.6000     2.8854e+02
SDSSJ100332.36+325659.1               18.4900     6.4565e+02
WINGSJ100224.24+323604.0              19.5000     2.1498e+02
WINGSJ100237.91+324442.5              19.7200     2.2930e+02
WINGSJ100336.54+325155.0              18.1400     4.9980e+02
WINGSJ102123.32+383202.3              19.0700     1.4669e+03
WINGSJ100225.12+325511.4              19.4100     1.5864e+03
WINGSJ102220.52+383046.1              21.3000     3.4340e+03
WINGSJ102111.99+381741.4              20.3800     2.2274e+03
WINGSJ102331.64+381725.2              21.1100     2.5858e+03
WINGSJ100234.62+325053.8              21.2400     3.2554e+03
WINGSJ100304.90+324726.8              20.5700     2.3692e+03
WINGSJ100307.54+323109.0              21.3800     2.9909e+03
WINGSJ102309.09+383508.6              21.2800     3.4182e+03
WINGSJ100245.57+324635.6              21.3000     2.2019e+03
WINGSJ102124.93+383013.9              21.7700     3.6241e+03
WINGSJ102307.20+383307.7              21.5900     3.4166e+03
WINGSJ100325.56+323028.9              21.7300     3.0005e+03
WINGSJ100349.98+323252.1              21.7500     2.9895e+03
WINGSJ102234.16+381853.4              21.8100     3.8107e+03
WINGSJ100302.87+324926.3              21.5900     2.8655e+03
WINGSJ100149.05+322735.3              21.2300     2.6804e+03
WINGSJ100135.74+323819.4              21.1000     2.0768e+03
WINGSJ100147.66+323434.3              20.6000     3.2285e+03
WINGSJ100205.56+323746.6              21.3700     3.0761e+03
WINGSJ100159.37+323238.0              21.8100     3.0367e+03
WINGSJ100251.32+323711.6              21.6200     3.7119e+03
WINGSJ100212.23+325651.5              20.3500     2.1737e+03
WINGSJ100132.27+324359.7              20.4600     2.1837e+03
WINGSJ100138.72+324707.3              21.3400     2.6218e+03
WINGSJ100218.62+324901.8              21.7200     3.3281e+03
WINGSJ100246.25+322656.4              21.0400     2.7189e+03
WINGSJ100150.76+324256.0              21.8400     4.9911e+03
WINGSJ100128.91+324610.2              22.1800     3.4946e+03
2MASXJ10021990+3245084                17.1800     2.2993e+02
PGC2008745                            17.2200     2.2930e+02
WINGSJ100135.18+324554.8              19.7400     1.4112e+03
UGC04722                              14.4550     2.7064e+01
AGC198691                             19.5300     9.1622e+00
PGC029347                             14.1070     2.1272e+01
NGC2735                               13.7610     3.6392e+01
NGC3074                               12.8260     7.6595e+01
NGC2608                               12.2510     3.2300e+01
UGC05464                              15.0240     1.6649e+01
UGC05340                              14.4820     9.1622e+00
NGC2830                               14.1110     8.9826e+01
IC0538                                16.0000     1.1598e+02
NGC2770                               12.2100     2.9390e+01
PGC025295                             16.6600     2.6026e+02
NGC2824                               12.6740     4.0476e+01
NGC3032                               13.0900     2.3594e+01
UGC05427                              14.4500     8.5901e+00
NGC2916                               12.0830     5.4601e+01
NGC2964                               11.3700     2.0692e+01
NGC2776                               11.6820     4.0476e+01
NGC2844                               12.8880     2.3583e+01
NGC2991                               12.6380     1.0985e+02
NGC3098                               11.9610     2.0119e+01
NGC3158                               11.8840     1.0257e+02
NGC3067                               12.1270     2.3004e+01
NGC3021                               12.4200     2.4166e+01
NGC3294                               11.6810     2.5328e+01
NGC2623                               13.5520     8.0205e+01
NGC2782                               12.3630     3.9902e+01
NGC2970                               13.6440     2.5328e+01
NGC2712                               12.1890     2.8814e+01
NGC2998                               12.5350     7.1812e+01
NGC3184                                9.8370     1.1460e+01
NGC2798                               12.3910     2.7064e+01
NGC3162                               11.7170     2.0119e+01
NGC3003                               11.7810     2.3004e+01
NGC2832                               11.7930     1.0195e+02
NGC2903                                8.9150     9.1622e+00
UGC05272                              14.0760     9.1622e+00
NGC3104                               12.7800     1.1460e+01
NGC2622                               14.1200     1.2399e+02
NGC2785                               13.3780     4.0476e+01
NGC2955                               12.8900     1.0375e+02
PGC027547                             15.1790     9.7679e+01
NGC3163                               13.3350     9.2854e+01
UGC05738                              14.2800     2.4166e+01
PGC032058                             14.9000     1.5878e+02
PGC027624                             14.5300     1.0740e+02
PGC142985                             18.0700     1.1413e+02
PGC142984                             16.6800     2.2408e+02
PGC3095820                            15.8800     2.4706e+02
PGC3095822                            18.5600     2.8787e+02
IC2421                                13.3120     6.4684e+01
PGC2291270                            16.5000     1.2151e+02
NGC2831                               13.3750     7.5998e+01
UGC04972                              13.2190     1.0438e+02
NGC2922                               13.6420     6.5253e+01
UGC05119                              13.4190     8.9207e+01
NGC2965                               14.7000     9.8901e+01
PGC028004                             15.6000     1.4689e+02
SDSSJ100139.98+324549.1               17.8900     1.9561e+02
PGC2012580                            17.0800     2.2667e+02
PGC2011480                            16.3100     2.2080e+02
SDSSJ100201.00+324546.7               17.5700     2.3067e+02
PGC2005057                            16.5400     2.2542e+02
2MASXJ10021128+3234087                16.7800     2.1757e+02
SDSSJ100245.62+324711.5               17.8800     2.2151e+02
2MASXJ10023179+3242195                16.9000     2.2667e+02
2MASXJ10023488+3243535                17.3200     2.2019e+02
2MASXJ10024082+3239125                17.6100     2.3259e+02
2MASXJ10024400+3249575                17.7100     2.1627e+02
PGC2016034                            15.6600     2.2542e+02
PGC2005903                            17.3700     2.2019e+02
PGC2019411                            17.9300     2.2803e+02
SDSSJ100250.03+324314.9               17.9700     2.2408e+02
2MASXJ10025058+3247435                16.9400     2.3779e+02
SDSSJ100250.75+323840.2               17.4400     2.1242e+02
PGC2011136                            17.6000     2.3067e+02
PGC2006038                            15.1800     2.1301e+02
SDSSJ100258.66+324618.6               17.3900     2.2605e+02
2MASXJ10030358+3236528                16.9400     2.2930e+02
PGC2001325                            17.7000     2.2867e+02
PGC2011606                            17.2700     2.4446e+02
PGC2009282                            17.3800     2.2080e+02
2MASXJ10030565+3235088                17.3300     2.1498e+02
PGC2008615                            16.2400     2.2151e+02
SDSSJ100306.73+322830.7               17.6600     2.3259e+02
PGC2016566                            17.0800     2.2470e+02
PGC2003691                            17.4700     2.3324e+02
2MASXJ10031791+3237019                16.7200     1.9240e+02
PGC2001080                            17.1200     2.2867e+02
PGC2099347                            16.4000     2.2019e+02
2MASXJ10204534+3831504                17.4900     2.4110e+02
PGC2129468                            16.8600     2.3195e+02
PGC2128205                            17.2500     3.9756e+02
PGC2130667                            16.7800     2.3131e+02
2MASXJ10210145+3827215                17.2900     3.9409e+02
SDSSJ102107.34+382731.7               17.6300     3.9628e+02
SDSSJ102112.78+381818.3               17.8000     2.3714e+02
PGC2130525                            17.9400     2.3779e+02
PGC2131627                            16.8100     2.5633e+02
PGC2125042                            17.0700     2.6497e+02
PGC2127257                            16.7700     2.5107e+02
2MASXJ10214588+3832495                16.5100     6.4091e+01
PGC2131797                            17.6300     2.6632e+02
SDSSJ102147.10+383520.6               16.8500     2.2867e+02
2MASXJ10214801+3832025                17.3200     3.9628e+02
PGC030324                             15.9900     2.5633e+02
PGC2136242                            16.0300     2.5235e+02
SDSSJ102159.83+382118.8               17.8000     2.5504e+02
PGC2124885                            15.8300     2.4244e+02
PGC2128446                            15.6200     2.5704e+02
PGC2130865                            16.5800     2.3659e+02
SDSSJ102209.14+383047.6               16.3600     2.4177e+02
PGC030348                             14.4500     2.5177e+02
PGC030344                             15.3300     2.3659e+02
SDSSJ102211.09+383149.5               16.8900     2.5165e+02
PGC2128656                            17.1500     2.4912e+02
PGC2128784                            16.4700     2.4969e+02
2MASXJ10222121+3827015                16.5700     2.4110e+02
SDSSJ102221.58+383101.0               17.9200     2.3911e+02
PGC2124280                            16.0900     2.4638e+02
2MASXJ10222575+3834564                16.8500     2.3259e+02
PGC2129903                            17.5600     2.4969e+02
PGC2136407                            17.2500     2.2867e+02
PGC2129276                            16.9700     2.5834e+02
PGC2125753                            16.8000     2.7504e+02
PGC2131472                            17.6400     2.1757e+02
PGC2131223                            17.9200     2.5305e+02
PGC2127438                            16.7200     4.0050e+02
2MASXJ10224427+3827547                17.1300     3.9628e+02
SDSSJ102245.36+382658.7               17.8200     2.3911e+02
PGC2131019                            16.6500     2.2803e+02
PGC2132546                            16.7700     2.5504e+02
PGC2123758                            17.4300     4.2579e+02
PGC2130728                            16.6200     2.3583e+02
2MASXJ10231298+3830394                17.3900     3.9555e+02
PGC2132894                            17.2800     2.3324e+02
SDSSJ102317.26+382420.9               17.5500     2.4774e+02
2MASXJ10232073+3841264                16.7200     2.5165e+02
UGC05893                              13.1410     1.5820e+02
PGC1710147                            15.8000     3.6932e+02
PGC1744794                            17.1000     1.9688e+02
PGC1750237                            18.0000     3.5793e+02
PGC1958290                            15.9000     9.2811e+02
PGC1999429                            17.5600     5.9211e+02
PGC2003102                            17.8300     9.0157e+02
PGC2005606                            16.8900     2.0147e+02
PGC2007430                            16.7700     2.3131e+02
PGC2012600                            16.8700     4.9888e+02
PGC2082767                            16.6000     1.6444e+02
PGC2088643                            17.3000     5.5463e+03
PGC2090361                            16.6000     4.9000e+02
PGC2107305                            17.0000     2.3356e+03
PGC2111896                            17.2000     6.2460e+02
PGC2126002                            17.6000     7.7019e+02
PGC2126287                            17.2300     2.3922e+02
PGC2127528                            17.7400     1.1508e+03
PGC2129776                            16.2500     5.0420e+02
PGC2130284                            17.6000     9.2726e+02
PGC2130813                            16.5700     2.4774e+02
PGC2132692                            17.8800     2.4774e+02
PGC2183385                            16.9000     6.2001e+02
PGC2299949                            18.2100     4.1706e+02
3C216                                 18.1000     3.8459e+03
3C219                                 17.4400     8.2528e+02
3C232                                 15.7800     2.9027e+03
3C240                                 18.9000     2.5188e+03
PGC2819684                            20.0000     1.4737e+03
PGC2819737                            18.1000     6.0730e+03
PGC2819890                            19.0000     2.5692e+03
PGC2820038                            18.8000     5.5055e+03
PGC2820402                            19.1900     8.2300e+03
3C220.2                               19.6000     7.5301e+03
PGC2820561                            20.0000     8.4295e+03
PGC2820562                            18.8000     7.1285e+03
PGC2820563                            19.5000     9.5367e+03
PGC2820605                            17.8600     4.0198e+03
PGC2820606                            18.0000     3.4722e+03
PGC2820659                            18.5000     8.8389e+02
PGC2820661                            17.3800     8.3176e+03
PGC2820746                            18.7000     6.1066e+03
PGC2820979                            19.2000     1.0144e+04
PGC3084740                            17.7500     9.5896e+03
PGC3095814                            18.9000     6.5766e+02
PGC3095823                            18.9300     7.1023e+02
PGC3095815                            17.3700     8.4101e+02
PGC3095826                            19.1000     8.6497e+02
PGC3095833                            17.9000     6.3738e+02
PGC139149                             18.5000     9.5104e+02
PGC3095835                            19.0600     6.3096e+02
PGC3095841                            18.6000     2.9322e+02
PGC3095852                            17.2000     6.4150e+02
PGC3095855                            18.2500     8.3869e+02
PGC3095859                            18.9900     6.8454e+02
PGC3095864                            18.0000     6.7484e+02
PGC3095866                            18.8900     1.8733e+02
PGC3095860                            17.5000     6.3270e+02
PGC3095870                            18.8800     3.1506e+02
PGC3095871                            19.0400     8.8471e+02
PGC3095872                            18.5000     2.5375e+02
PGC3095874                            20.9000     2.6705e+02
PGC3095875                            17.4000     6.4714e+02
PGC3095882                            17.5000     6.0478e+02
PGC3095885                            19.3900     4.0476e+02
PGC3095888                            18.3200     8.9454e+02
PGC3095868                            18.5000     1.2151e+02
PGC3095892                            18.5400     5.3162e+02
PGC3095897                            17.1000     4.0776e+02
PGC3095906                            17.9000     9.2470e+02
PGC3095913                            16.9000     6.6650e+02
PGC3095917                            17.0000     3.7000e+02
PGC3095935                            17.7000     7.1846e+02
PGC3095937                            16.6200     5.0119e+02
PGC3095940                            18.3700     3.9701e+02
PGC3095965                            19.2100     5.3852e+02
PGC3095972                            18.9200     2.4513e+02
SDSSJ102045.77+382745.5               18.0600     2.3388e+02
SDSSJ102049.31+382219.9               17.8100     2.5038e+02
SDSSJ102106.19+381558.5               19.4600     2.2131e+03
SDSSJ102119.82+382513.0               18.1000     2.4311e+02
SDSSJ102148.05+384106.9               17.8300     1.1545e+03
2MASXJ10214819+3834495                17.5200     4.8551e+02
SDSSJ102148.91+383848.0               17.9400     7.0958e+02
SDSSJ102149.14+382842.7               18.0500     7.0925e+02
SDSSJ102153.75+383625.2               17.9000     2.1958e+02
SDSSJ102158.11+383230.8               17.9500     5.9924e+02
SDSSJ102205.30+384651.1               17.7700     6.4298e+02
SDSSJ102213.01+383301.8               19.5400     1.8793e+03
SDSSJ102214.48+383038.0               18.0500     9.2640e+02
SDSSJ102216.07+384515.6               19.2800     1.5747e+03
SDSSJ102205.62+381952.6               17.3900     2.5433e+02
SDSSJ102231.20+382439.4               17.7600     1.5438e+02
SDSSJ102242.70+383214.0               17.7700     2.3067e+02
SDSSJ102258.98+382134.8               18.5300     1.5966e+03
SDSSJ102305.11+381932.2               18.9000     1.5981e+03
2MASXJ10231235+3840404                17.3800     6.9534e+02
2MASXJ10233506+3834514                18.6050     9.9129e+02
2MASXJ10022340+3240594                16.4200     2.3725e+02
2MASXJ10034673+3255131                17.6900     4.9454e+02
SDSSJ102212.60+383742.7               17.9100     2.5038e+02
SDSSJ102235.89+383636.9               20.0600     1.5783e+03
SDSSJ100220.58+325004.4               17.9700     2.3779e+02
SDSSJ100250.78+323320.0               18.3800     2.2019e+02
SDSSJ100210.92+324953.7               17.2700     2.2542e+02
SDSSJ100226.49+324559.5               18.1100     2.2080e+02
SDSSJ100259.63+325323.1               17.8700     7.8127e+02
SDSSJ100354.86+323028.8               17.9500     1.0097e+03
SDSSJ100133.90+324131.4               19.4100     1.7824e+03
SDSSJ100204.44+324727.9               18.0500     4.9820e+02
SDSSJ100214.57+325701.1               21.0820     2.1548e+03
SDSSJ100244.58+324402.9               18.0300     2.2151e+02
SDSSJ100234.06+323524.5               19.1300     1.7816e+03
SDSSJ100257.15+325159.3               19.2700     2.1797e+03
SDSSJ100258.90+324551.0               18.1500     9.1706e+02
SDSSJ100302.81+325012.2               19.1800     1.4771e+03
SDSSJ100304.37+325133.0               19.4000     1.7939e+03
SDSSJ100304.63+325341.0               19.6400     2.2274e+03
SDSSJ100154.72+322831.6               18.5000     5.8830e+02
SDSSJ100217.17+325113.2               18.6000     2.1958e+02
SDSSJ102239.13+381938.3               18.6200     9.8175e+02
WINGSJ100336.36+325141.1              19.1200     5.0420e+02
WINGSJ102159.47+382808.9              17.5300     2.3977e+02
WINGSJ100144.28+324634.0              18.7300     2.2284e+02
WINGSJ100214.86+325111.5              18.4000     2.2480e+02
WINGSJ100220.62+324438.4              19.3800     2.4044e+02
WINGSJ100229.30+323530.4              19.5300     2.1370e+02
WINGSJ100231.85+323033.4              18.8500     2.2274e+02
WINGSJ100239.48+324317.0              19.4100     2.3131e+02
WINGSJ100240.18+323832.9              19.4100     2.2080e+02
WINGSJ100250.42+324213.5              19.2300     2.0597e+02
WINGSJ100303.53+323346.4              19.0600     2.3324e+02
WINGSJ100323.49+324037.3              19.0100     2.1174e+02
WINGSJ100325.88+325216.3              19.2600     2.3195e+02
WINGSJ102123.51+383100.3              18.5100     4.0476e+02
WINGSJ102128.31+383406.3              18.6300     5.0119e+02
WINGSJ102226.36+384500.3              18.4200     5.4300e+02
WINGSJ102239.51+383044.8              18.3200     5.4375e+02
WINGSJ100141.88+323727.7              19.2500     1.1308e+03
WINGSJ100232.44+324834.2              18.8800     8.0984e+02
WINGSJ100233.74+325710.0              18.6600     1.1246e+03
WINGSJ100248.29+324837.4              19.7400     8.3253e+02
WINGSJ100312.79+322814.4              19.6900     1.0069e+03
WINGSJ100324.09+323605.3              19.4900     1.1288e+03
WINGSJ100324.54+323804.7              19.1200     5.9211e+02
WINGSJ100345.11+325659.1              19.0800     7.0437e+02
WINGSJ100354.21+324938.0              19.8700     9.9678e+02
WINGSJ100354.88+324349.5              19.7300     1.0088e+03
WINGSJ100356.26+324541.4              19.3900     1.4914e+03
WINGSJ102333.39+382415.5              19.9100     2.0389e+03
WINGSJ102125.23+382833.4              18.6800     1.1497e+03
WINGSJ102150.75+382417.9              19.7300     1.4342e+03
WINGSJ102202.17+383500.1              19.6700     1.1588e+03
WINGSJ102219.79+383424.5              18.2900     9.8265e+02
WINGSJ102259.80+384356.0              19.2000     1.4655e+03
WINGSJ100124.83+322919.6              20.4700     1.6077e+03
WINGSJ100227.81+322553.2              20.4100     2.7127e+03
WINGSJ102130.14+382106.2              18.4300     1.1636e+03
WINGSJ102201.53+382632.1              18.5500     1.1497e+03
WINGSJ100219.63+325609.8              19.6000     2.1647e+03
WINGSJ100223.65+325906.5              20.2700     1.8707e+03
WINGSJ102050.04+381633.6              21.4200     4.2267e+03
WINGSJ102104.05+381600.7              20.1700     2.2346e+03
WINGSJ102154.63+384528.4              19.8600     1.4534e+03
WINGSJ102206.04+384248.1              21.2500     3.3884e+03
WINGSJ102243.16+383457.8              20.5700     3.3853e+03
WINGSJ100117.06+322735.4              20.9900     5.8668e+02
WINGSJ100248.00+324255.9              21.2400     2.7416e+03
WINGSJ100258.00+325529.1              21.4300     3.0803e+03
WINGSJ100301.16+325413.6              20.2800     2.2254e+03
WINGSJ100301.72+324455.1              19.9700     1.6361e+03
WINGSJ100308.35+324058.9              20.3400     2.1647e+03
WINGSJ100313.53+323119.3              20.9100     3.2764e+03
WINGSJ100313.54+325334.9              20.9900     2.7580e+03
WINGSJ100323.11+322844.3              21.3800     3.0005e+03
WINGSJ100327.76+325832.5              21.2600     2.5942e+03
WINGSJ102156.54+381610.1              21.1600     2.4946e+03
WINGSJ102251.31+384313.7              20.3300     1.9143e+03
WINGSJ102253.05+383145.4              21.4800     4.6946e+03
WINGSJ102313.89+383539.8              20.5400     3.3822e+03
WINGSJ102320.82+384702.7              21.3700     3.4229e+03
WINGSJ102334.16+383409.2              20.8600     2.6485e+03
WINGSJ100131.56+323931.5              21.2100     3.0213e+03
WINGSJ100158.09+324703.0              20.1200     2.1548e+03
WINGSJ100256.81+322639.8              20.9100     2.8681e+03
WINGSJ100250.31+324404.7              21.0500     2.7403e+03
WINGSJ100318.07+323751.1              20.9200     3.7222e+03
WINGSJ100334.11+324339.5              21.3800     2.5061e+03
WINGSJ100306.23+325350.5              20.2300     2.1999e+03
WINGSJ100307.02+322813.6              21.5700     3.3067e+03
